fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series,evaluation_split
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,dept_id,FOODS_2,9.937074919541676,14.805792334266254,0.3116931640184842,0.6955782089914594,58.42856955528259,2678.0,2736.4285695552826,84,1.0866286115338823,84,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,dept_id,FOODS_3,19.877611227202834,44.63475690522469,0.2445551133068339,-8.442356739824975,-1443.6430025100708,13899.0,12455.35699748993,171,1.0844208044697043,171,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,intermittency_class,highly_intermittent,4.829364928934309,6.833685501007032,0.643915323857908,0.2976190580262078,5.357143044471741,135.0,140.35714304447174,18,1.40872045341478,18,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,intermittency_class,intermittent,7.9384920199712115,12.027394890496543,0.2614690875745321,-2.265872961945004,-326.28570652008057,4372.0,4045.71429347992,144,0.957521896378859,144,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,intermittency_class,regular,27.611802301545072,51.98496863086604,0.2559224069859104,-9.071430074995842,-1251.8573503494265,14889.0,13637.142649650574,138,1.2715868711174485,138,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,overall,all,16.801667124032974,36.26787708226814,0.25987317679985,-5.242619712750117,-1572.785913825035,19396.0,17823.214086174965,300,1.1290636981807654,300,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,store_id,CA_1,14.023572698831558,25.06631307673291,0.1961064564233192,-4.8135720980167385,-481.3572098016739,7151.0,6669.642790198326,100,0.999066567117611,100,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,store_id,TX_2,17.207143421173097,34.350055584226766,0.2617056033638493,-8.428572554588317,-842.8572554588318,6575.0,5732.142744541168,100,1.121058633136326,100,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,store_id,WI_3,19.17428525209427,46.23667758677382,0.338170815733585,-2.4857144856452944,-248.57144856452945,5670.0,5421.428551435471,100,1.26706589428836,100,0,validation
validation_fold_1,mean_28,days_1_30_daily,30,daily,demand_band,high,2.5182299259134413,4.221746873330432,0.5310005594577863,-0.4595959963220538,-1365.0001090765,14085.0,12719.9998909235,2970,0.7642830474414579,99,0,validation
validation_fold_1,mean_28,days_1_30_daily,30,daily,demand_band,low,0.6723184223177056,1.0078477369763574,1.081682402103784,-0.043987493342422,-130.64285522699356,1846.0,1715.3571447730064,2970,0.7324331773779797,99,0,validation
validation_fold_1,mean_28,days_1_30_daily,30,daily,demand_band,medium,0.967973857750398,1.433178845841043,0.8548340561951566,-0.0252100817640038,-77.14285019785166,3465.0,3387.8571498021483,3060,0.6917655714843005,102,0,validation
validation_fold_1,mean_28,days_1_30_daily,30,daily,dept_id,FOODS_1,1.5844444440415613,2.8206652928888696,0.75877970892377,-0.1389418196733351,-187.5714565590024,2819.0,2631.4285434409976,1350,0.8787120566496484,45,0,validation
