fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
validation_fold_1,xgb_tune_05,days_1_30_aggregate,30,aggregate,overall,all,21.400957139364134,49.497152662734024,0.3310108858429181,7.774396693787227,2332.319008136168,19396.0,21728.319008136168,300,1.3407311163301017,300,0
validation_fold_1,xgb_tune_05,days_1_30_daily,30,daily,overall,all,1.5426289808247238,2.8061705980449445,0.7158002076419114,0.25914655645957424,2332.319008136168,19396.0,21728.319008136168,9000,0.7565505946396137,300,0
validation_fold_2,xgb_tune_05,day_1_daily,1,daily,overall,all,1.0638644539370823,1.8785888839628282,0.6044684397369785,-0.0031534110948753854,-0.9460233284626156,528.0,527.0539766715374,300,0.44897933909428084,300,0
validation_fold_2,xgb_tune_05,days_1_7_aggregate,7,aggregate,overall,all,4.9757520390713275,9.931013137027746,0.3477925469993938,0.6989196025991502,209.67588077974506,4292.0,4501.675880779745,300,0.7196804159325229,300,0
validation_fold_2,xgb_tune_05,days_1_7_daily,7,daily,overall,all,1.310202344857001,2.628090864134927,0.6410589292170789,0.09984565751416431,209.67588077974506,4292.0,4501.675880779745,2100,0.6261262060414197,300,0
validation_fold_2,xgb_tune_05,days_1_30_aggregate,30,aggregate,overall,all,18.975714238761768,39.13614255843995,0.27677529519780875,4.3676434361104235,1310.293030833127,20568.0,21878.293030833127,300,1.2543468595599556,300,0
validation_fold_2,xgb_tune_05,days_1_30_daily,30,daily,overall,all,1.5129021977704897,2.7651453551981824,0.6620050456988724,0.14558811453701412,1310.293030833127,20568.0,21878.293030833127,9000,0.7459043137932045,300,0
validation_fold_3,xgb_tune_05,day_1_daily,1,daily,overall,all,1.1967596956187239,2.151791700866709,0.6298735240098546,-0.03962906101408104,-11.888718304224312,570.0,558.1112816957757,300,0.44477976751310394,300,0
validation_fold_3,xgb_tune_05,days_1_7_aggregate,7,aggregate,overall,all,4.694210571727793,8.182509685284735,0.29710193491948056,-0.594466396420806,-178.3399189262418,4740.0,4561.660081073758,300,0.6903351655414854,300,0
validation_fold_3,xgb_tune_05,days_1_7_daily,7,daily,overall,all,1.3831333024525416,2.532624067113978,0.6127805770359361,-0.084923770917258,-178.3399189262418,4740.0,4561.660081073758,2100,0.6752302432254432,300,0
validation_fold_3,xgb_tune_05,days_1_30_aggregate,30,aggregate,overall,all,18.91587052684937,37.5652246487606,0.2843209157800897,7.563157687858135,2268.9473063574405,19959.0,22227.94730635744,300,1.2575957216463862,300,0
validation_fold_3,xgb_tune_05,days_1_30_daily,30,daily,overall,all,1.517832564714274,2.699668672570911,0.6844277309699117,0.25210525626193786,2268.9473063574405,19959.0,22227.94730635744,9000,0.7459502690016877,300,0
combined,xgb_tune_06,day_1_daily,1,daily,overall,all,1.1699857812184442,2.1046446815429993,0.5627938017619454,-0.07210732764088283,-64.89659487679455,1871.0,1806.1034051232054,900,0.4757039186792171,900,0
combined,xgb_tune_06,days_1_7_aggregate,7,aggregate,overall,all,4.623168513167547,8.454802767338851,0.3209048019320371,0.15746254954083674,141.71629458675307,12966.0,13107.716294586753,900,0.6979153234972524,900,0
combined,xgb_tune_06,days_1_7_daily,7,daily,overall,all,1.298928348928232,2.433854331926374,0.6311313125287569,0.02249464993440525,141.71629458675307,12966.0,13107.716294586753,6300,0.6478286966585991,900,0
combined,xgb_tune_06,days_1_30_aggregate,30,aggregate,overall,all,19.195284285961236,39.408896441154816,0.28829924832476866,3.6514240538081584,3286.2816484273426,59923.0,63209.28164842734,900,1.3143846848421141,900,0
combined,xgb_tune_06,days_1_30_daily,30,daily,overall,all,1.5003119999876764,2.6996288665459587,0.6760079435219742,0.12171413512693861,3286.2816484273426,59923.0,63209.28164842734,27000,0.7534775475017768,900,0
validation_fold_1,xgb_tune_06,day_1_daily,1,daily,overall,all,1.3181020852178336,2.400117742957497,0.5115532025424968,-0.1286979645738999,-38.60938937216997,773.0,734.39061062783,300,0.5411865559005459,300,0
validation_fold_1,xgb_tune_06,days_1_7_aggregate,7,aggregate,overall,all,4.295353106092661,6.761214050437402,0.32755615959018775,1.0487590098691484,314.6277029607445,3934.0,4248.6277029607445,300,0.6826681469219857,300,0
validation_fold_1,xgb_tune_06,days_1_7_daily,7,daily,overall,all,1.241642772935863,2.0340463799202793,0.6627986332397845,0.1498227156955926,314.6277029607445,3934.0,4248.6277029607445,2100,0.6428276105862493,300,0
validation_fold_1,xgb_tune_06,days_1_30_aggregate,30,aggregate,overall,all,20.998964887689798,43.96208525409049,0.32479322882588885,4.907685137521476,1472.3055412564427,19396.0,20868.305541256443,300,1.405886795859556,300,0
validation_fold_1,xgb_tune_06,days_1_30_daily,30,daily,overall,all,1.513254470685497,2.694116716498904,0.7021700472349697,0.1635895045840492,1472.3055412564427,19396.0,20868.305541256443,9000,0.7633422860753809,300,0
